CODIGO_DANE_MUNICIPIO;DESC_MUNICIPIO;DESC_DEPARTAMENTO;ZONA
5002;ABEJORRAL;ANTIOQUIA;RURAL
54003;ÁBREGO;NORTE DE SANTANDER;RURAL
5004;ABRIAQUÍ;ANTIOQUIA;RURAL DISPERSO
50006;ACACÍAS;META;URBANO
27006;ACANDÍ;CHOCÓ;RURAL
41006;ACEVEDO;HUILA;RURAL DISPERSO
13006;ACHÍ;BOLÍVAR;RURAL DISPERSO
41013;AGRADO;HUILA;RURAL
25001;AGUA DE DIOS;CUNDINAMARCA;URBANO
20011;AGUACHICA;CESAR;URBANO
68013;AGUADA;SANTANDER;RURAL DISPERSO
17013;AGUADAS;CALDAS;RURAL
85010;AGUAZUL;CASANARE;URBANO
20013;AGUSTÍN CODAZZI;CESAR;URBANO
41016;AIPE;HUILA;RURAL
25019;ALBÁN;CUNDINAMARCA;URBANO
52019;ALBÁN;NARIÑO;URBANO
18029;ALBANIA;CAQUETÁ;RURAL
44035;ALBANIA;LA GUAJIRA;RURAL
68020;ALBANIA;SANTANDER;RURAL DISPERSO
76020;ALCALÁ;VALLE DEL CAUCA;URBANO
52022;ALDANA;NARIÑO;RURAL
5021;ALEJANDRÍA;ANTIOQUIA;RURAL
47030;ALGARROBO;MAGDALENA;RURAL
41020;ALGECIRAS;HUILA;RURAL
19022;ALMAGUER;CAUCA;RURAL
73024;ALPUJARRA;TOLIMA;RURAL DISPERSO
41026;ALTAMIRA;HUILA;RURAL
27025;ALTO BAUDÓ;CHOCÓ;RURAL DISPERSO
13030;ALTOS DEL ROSARIO;BOLÍVAR;RURAL
73026;ALVARADO;TOLIMA;RURAL
5030;AMAGÁ;ANTIOQUIA;URBANO
5031;AMALFI;ANTIOQUIA;RURAL
73030;AMBALEMA;TOLIMA;RURAL
25035;ANAPOIMA;CUNDINAMARCA;URBANO
52036;ANCUYÁ;NARIÑO;RURAL
76036;ANDALUCÍA;VALLE DEL CAUCA;URBANO
5034;ANDES;ANTIOQUIA;URBANO
5036;ANGELÓPOLIS;ANTIOQUIA;URBANO
5038;ANGOSTURA;ANTIOQUIA;RURAL DISPERSO
25040;ANOLAIMA;CUNDINAMARCA;URBANO
5040;ANORÍ;ANTIOQUIA;RURAL
17042;ANSERMA;CALDAS;URBANO
76041;ANSERMANUEVO;VALLE DEL CAUCA;URBANO
5044;ANZÁ;ANTIOQUIA;RURAL DISPERSO
73043;ANZOÁTEGUI;TOLIMA;RURAL DISPERSO
5045;APARTADÓ;ANTIOQUIA;URBANO
66045;APÍA;RISARALDA;URBANO
25599;APULO;CUNDINAMARCA;URBANO
15047;AQUITANIA;BOYACÁ;RURAL
47053;ARACATACA;MAGDALENA;URBANO
17050;ARANZAZU;CALDAS;URBANO
68051;ARATOCA;SANTANDER;RURAL DISPERSO
81001;ARAUCA;ARAUCA;URBANO
81065;ARAUQUITA;ARAUCA;RURAL
25053;ARBELÁEZ;CUNDINAMARCA;URBANO
52051;ARBOLEDA;NARIÑO;URBANO
54051;ARBOLEDAS;NORTE DE SANTANDER;RURAL DISPERSO
5051;ARBOLETES;ANTIOQUIA;URBANO
15051;ARCABUCO;BOYACÁ;RURAL
13042;ARENAL;BOLÍVAR;RURAL DISPERSO
5055;ARGELIA;ANTIOQUIA;RURAL DISPERSO
19050;ARGELIA;CAUCA;RURAL DISPERSO
76054;ARGELIA;VALLE DEL CAUCA;URBANO
47058;ARIGUANÍ;MAGDALENA;RURAL
13052;ARJONA;BOLÍVAR;URBANO
5059;ARMENIA;ANTIOQUIA;RURAL
63001;ARMENIA;QUINDIO;URBANO
73055;ARMERO GUAYABAL;TOLIMA;RURAL
13062;ARROYOHONDO;BOLÍVAR;URBANO
20032;ASTREA;CESAR;RURAL
73067;ATACO;TOLIMA;RURAL DISPERSO
27050;ATRATO;CHOCÓ;RURAL
23068;AYAPEL;CÓRDOBA;URBANO
27073;BAGADÓ;CHOCÓ;RURAL DISPERSO
27075;BAHÍA SOLANO;CHOCÓ;RURAL DISPERSO
27077;BAJO BAUDÓ;CHOCÓ;RURAL DISPERSO
19075;BALBOA;CAUCA;RURAL
66075;BALBOA;RISARALDA;RURAL DISPERSO
8078;BARANOA;ATLÁNTICO;URBANO
41078;BARAYA;HUILA;RURAL
52079;BARBACOAS;NARIÑO;RURAL
5079;BARBOSA;ANTIOQUIA;URBANO
68077;BARBOSA;SANTANDER;URBANO
68079;BARICHARA;SANTANDER;URBANO
50110;BARRANCA DE UPÍA;META;RURAL DISPERSO
68081;BARRANCABERMEJA;SANTANDER;URBANO
44078;BARRANCAS;LA GUAJIRA;RURAL
13074;BARRANCO DE LOBA;BOLÍVAR;RURAL
94343;BARRANCO MINAS;GUAINÍA;RURAL DISPERSO
8001;BARRANQUILLA;ATLÁNTICO;URBANO
20045;BECERRIL;CESAR;RURAL
17088;BELALCÁZAR;CALDAS;URBANO
15087;BELÉN;BOYACÁ;URBANO
52083;BELÉN;NARIÑO;URBANO
18094;BELÉN DE LOS ANDAQUÍES;CAQUETÁ;RURAL
66088;BELÉN DE UMBRÍA;RISARALDA;URBANO
5088;BELLO;ANTIOQUIA;URBANO
5086;BELMIRA;ANTIOQUIA;RURAL DISPERSO
25086;BELTRÁN;CUNDINAMARCA;RURAL DISPERSO
15090;BERBEO;BOYACÁ;RURAL DISPERSO
5091;BETANIA;ANTIOQUIA;URBANO
15092;BETÉITIVA;BOYACÁ;RURAL DISPERSO
5093;BETULIA;ANTIOQUIA;URBANO
68092;BETULIA;SANTANDER;RURAL DISPERSO
25095;BITUIMA;CUNDINAMARCA;RURAL DISPERSO
15097;BOAVITA;BOYACÁ;RURAL
54099;BOCHALEMA;NORTE DE SANTANDER;RURAL
11001;BOGOTÁ D.C;BOGOTÁ;URBANO
25099;BOJACÁ;CUNDINAMARCA;URBANO
27099;BOJAYÁ;CHOCÓ;RURAL DISPERSO
19100;BOLÍVAR;CAUCA;RURAL
68101;BOLÍVAR;SANTANDER;RURAL DISPERSO
76100;BOLÍVAR;VALLE DEL CAUCA;RURAL DISPERSO
20060;BOSCONIA;CESAR;URBANO
15104;BOYACÁ;BOYACÁ;RURAL
5107;BRICEÑO;ANTIOQUIA;RURAL DISPERSO
15106;BRICEÑO;BOYACÁ;RURAL
68001;BUCARAMANGA;SANTANDER;URBANO
54109;BUCARASICA;NORTE DE SANTANDER;RURAL DISPERSO
76109;BUENAVENTURA;VALLE DEL CAUCA;URBANO
15109;BUENAVISTA;BOYACÁ;RURAL
23079;BUENAVISTA;CÓRDOBA;RURAL
63111;BUENAVISTA;QUINDIO;URBANO
70110;BUENAVISTA;SUCRE;URBANO
19110;BUENOS AIRES;CAUCA;RURAL
52110;BUESACO;NARIÑO;RURAL DISPERSO
76113;BUGALAGRANDE;VALLE DEL CAUCA;RURAL
5113;BURITICÁ;ANTIOQUIA;RURAL DISPERSO
15114;BUSBANZÁ;BOYACÁ;RURAL
25120;CABRERA;CUNDINAMARCA;RURAL DISPERSO
50124;CABUYARO;META;RURAL DISPERSO
94886;CACAHUAL;GUAINÍA;RURAL DISPERSO
5120;CÁCERES;ANTIOQUIA;RURAL DISPERSO
25123;CACHIPAY;CUNDINAMARCA;URBANO
54128;CÁCHIRA;NORTE DE SANTANDER;RURAL DISPERSO
54125;CÁCOTA;NORTE DE SANTANDER;RURAL DISPERSO
5125;CAICEDO;ANTIOQUIA;RURAL DISPERSO
76122;CAICEDONIA;VALLE DEL CAUCA;URBANO
70124;CAIMITO;SUCRE;RURAL DISPERSO
73124;CAJAMARCA;TOLIMA;RURAL
19130;CAJIBÍO;CAUCA;RURAL
25126;CAJICÁ;CUNDINAMARCA;URBANO
13140;CALAMAR;BOLÍVAR;URBANO
95015;CALAMAR;GUAVIARE;RURAL DISPERSO
63130;CALARCÁ;QUINDIO;URBANO
5129;CALDAS;ANTIOQUIA;URBANO
15131;CALDAS;BOYACÁ;RURAL DISPERSO
19137;CALDONO;CAUCA;RURAL
76001;CALI;VALLE DEL CAUCA;URBANO
68132;CALIFORNIA;SANTANDER;RURAL
76126;CALIMA;VALLE DEL CAUCA;RURAL
19142;CALOTO;CAUCA;RURAL
5134;CAMPAMENTO;ANTIOQUIA;RURAL
8137;CAMPO DE LA CRUZ;ATLÁNTICO;URBANO
41132;CAMPOALEGRE;HUILA;URBANO
15135;CAMPOHERMOSO;BOYACÁ;RURAL DISPERSO
23090;CANALETE;CÓRDOBA;RURAL
8141;CANDELARIA;ATLÁNTICO;URBANO
76130;CANDELARIA;VALLE DEL CAUCA;URBANO
13160;CANTAGALLO;BOLÍVAR;RURAL
5138;CAÑASGORDAS;ANTIOQUIA;RURAL
25148;CAPARRAPÍ;CUNDINAMARCA;RURAL DISPERSO
